id,title,description,price,skills
job-1,Hanuman Chalisa Guided Audio Track Creation (Call & Response Format),"We are looking for an experienced audio creator/music producer to create a guided Hanuman Chalisa audio track in a call-and-response format.

Format Requirement:

One lead voice sings each line
Followed by a chorus repeating the same line
Continue for the full Hanuman Chalisa (all verses)

Example Structure:
Lead: Jai Hanuman gyan gun sagar
Chorus: Jai Hanuman gyan gun sagar

Lead: Jai Kapis tihun lok ujagar
Chorus: Jai Kapis tihun lok ujagar

Key Requirements:

Accurate pronunciation (Hindi/Sanskrit is critical)
Devotional / bhakti feel (temple-style or soft bhajan tone)
Clear pacing so listeners can repeat and learn
High-quality audio output (no noise, balanced mix)

Audio Style:

Calm, spiritual, and engaging
Background music optional (soft tabla, flute, tanpura preferred)
Chorus can be...",$76,"Audio Editing, Audio Production, Audio Services, Music, Music Production, Sound Design, Voice Talent"
job-2,Need backlinks for rajwadaparidhan.com,"I am looking for an experienced SEO expert to build high-quality backlinks for my website  (fashion/ethnic wear niche).

I need someone who can improve my website’s domain authority, keyword rankings, and organic traffic through effective off-page SEO strategies.

---

 **Requirements:**

* Only white-hat SEO techniques
* Experience in fashion / eCommerce SEO (preferred)
* Ability to create high DA backlinks
* Knowledge of:

  * Guest posting
  * Profile backlinks
  * Directory submissions
  * Social bookmarking
  * Blog outreach

---

What I Expect:
* Quality over quantity (no spam links)
* Weekly or monthly **backlink report**
* Clear strategy before starting work

---

 **Budget & Duration:**

* Budget: Open (please share your packages)
* Duration: Ongoing project (long-term p...",$38,"Digital Marketing, Keyword Research, Link Building, SEO, SEO Auditing, Web Security, Website Analytics, Website Management, Website Optimization"
job-3,Mailchimp Framer Expressions of Interest Landing Page,"I’m launching a new fine-art printing service that picture-framing shops across Australia can outsource to. My first step is a single Mailchimp landing page whose sole purpose is collecting Expressions of Interest from framers—ultimately I need 42 shops to opt into a pilot program that will shape the service.

What I need built
• A clean, minimalist Mailchimp landing page that matches a modern gallery aesthetic.  
• A contact form capturing: 
1. Person's Name
2. Shop name, 
3. Email address, shipping address (for samples), Mob No. (for WhatsApp contact list)
4. “Yes, I’d like to join the pilot” checkbox, and 
5. A 'Comment text box allowing framers to highlight any suggestions or “Current pain points” they have.  
• Concise...",$161,"Content Strategy, Copywriting, Digital Marketing, Email Marketing, Graphic Design, Landing Pages, Lead Generation, Mailchimp"
job-4,Microsoft Word Ebook Formatting,"I have an ebook draft in Microsoft Word that needs a clean, publication-ready layout. I’m looking for someone who can apply consistent styles to all headings and subheadings, align and label every table and figure properly, and set up running page numbers with polished headers and footers throughout the file.  

The final document should look just as good on screen as it does when exported to PDF for print or Kindle conversion. Please keep my existing text intact while fixing any spacing inconsistencies, orphan lines, or misaligned graphics that you spot along the way.

Deliverables  
• Updated, well-structured Word (.docx) file  
• Print-ready PDF that mirrors the Word version  
• A short note outlining any style changes or tips for future edits  

I’d love to r...",$183,"Adobe InDesign, eBooks, Editing, Graphic Design, Microsoft Word, Proofreading, Publishing, Word, Word Processing"
job-5,Custom Website Development Needed,"Project Title:
Deploy Simple Web Platform to Hosting + Minor Edits

Project Description:
I have a simple web platform that was created using AI and is now ready to be published online.

The platform idea is very simple: users submit a form with their idea, and the admin reviews and votes on the submissions.

What I need from the freelancer:

Upload the platform to a hosting server
Connect the platform to a database
Edit some simple code and features
Ensure the platform is live and working properly
Basic testing after deployment

Platform status:

Code is ready
Structure is ready
Only deployment, database connection, and minor edits are required

Required skills:

Web hosting & deployment
Database connection (MySQL or similar)
Basic web development (HTML/CSS/JS or the framework used)
Tr...",$38,"Database Management, HTML, MySQL, PHP, Troubleshooting, Web Development, Web Hosting, Website Design"
job-6,Experienced Digital Marketing and CRM Tutor,"**Title:** Digital Marketing + CRM Automation Expert (Execution + Training Required)

**Description:**

I am looking for an experienced digital marketing expert who can both IMPLEMENT and GUIDE me in setting up a complete marketing system.

I already have basic knowledge, so I am NOT looking for beginner-level explanations. I want fast, practical learning through real execution.

**Scope of Work:**

1. CRM Setup & Flow Automation

* Setup CRM (suggest best option: HubSpot / Zoho / GoHighLevel)
* Lead capture system (landing page, WhatsApp, forms)
* Automated workflows (lead assignment, follow-ups, reminders)
* WhatsApp/email automation integration

2. Funnel & Marketing Flow

* Create end-to-end funnel (Ad → Landing Page → CRM → Conversion)
* Help me understand logic...",$79,"Content Strategy, CRM, Digital Marketing, Facebook Marketing, Internet Marketing, Lead Generation, Marketing, PHP"
job-7,Drive Traffic via Meta Ads,"My goal is to move a steady flow of qualified visitors from Meta platforms (Facebook and Instagram) straight to my website. I already have a well-defined custom audience ready to load into Ads Manager, so there’s no guesswork on targeting. What I need is the full campaign execution and ongoing optimisation that turns that audience into site sessions and, ultimately, leads.

The work involves:
• Building the campaign structure in Meta Ads Manager around my traffic objective, including ad sets that align with the custom audience data I provide.  
• Crafting compelling ad copy and creative (single image, carousel or video—whichever you believe will perform best) and installing the Meta pixel plus relevant events so we can track clicks through to on-page behaviour.  
&bul...",$78,"Ad Planning & Buying, Digital Marketing, Facebook Ads, Google Adwords, Instagram Ads, Internet Marketing, Search Engine Marketing, SEO"
job-8,I want to publish my article in Khaleej times and gulf news in UAE,I want to publish my article in Khaleej times and Gulf News in UAE. Need PR.,$82,"Article Writing, Blog, Press Releases"
job-9,ServiceNow Plugin Recertification -- 2,"I need an experienced ServiceNow developer to take our existing, fully-documented plugin and walk it through recertification for the two most recent ServiceNow releases. The app extends Incident Management and broader IT Service Management workflows, so every function touching those areas must run cleanly on the new builds.  

What’s waiting for you:  
• Complete prior certification package, test plans, and source code in Git  
• A live sandbox on each target release for smoke-testing  
• My quick turnaround on any clarifications you need  

Your job is to review the code, resolve any incompatibilities you uncover, update the documentation inline, and resubmit the finished build so it appears again in the ServiceNow Store. If minor Change Management hooks need tweaks a...",$326,"API Development, Documentation, Git, PHP, Python, Salesforce App Development, Salesforce.com, ServiceNow"
job-10,IoT Embedded Control Device Assembly (South Africa),"We have developed an IoT device built around an embedded computer and sensor system, designed to control and monitor environmental conditions within a room. The full electronic design is complete.

We are now looking for a skilled assembler to produce fully built and tested units based on our existing BOM and enclosure design. Clear step-by-step assembly instructions are provided in both video and PDF format.

Scope of work
• Final integration of all components into the custom enclosure, including connectors and cable routing
• Power-on testing and verification that the control system GPIOs operate as intended

Deliverables
• Fully assembled, tested, and shipment-ready devices
• A short assembly log for each unit, including any adjustments or rework
• Photo documen...",$15 - $25 / hr,"Assembly, Electronics, Embedded Systems, Microcontroller, Odd Jobs, Wireless Sensors"
